Date,Mean_Sea_Level
1992.96,-31.132
1992.985,-33.124
1993.01,-31.351
1993.039,-34.269
1993.064,-36.125
1993.096,-37.541
1993.119,-34.615
1993.147,-29.113
1993.175,-28.342
1993.202,-29.083
1993.229,-29.633
1993.283,-31.232
1993.311,-25.82
1993.338,-27.115
1993.365,-26.22
1993.392,-30.212
1993.419,-30.742
1993.446,-27.768
1993.474,-24.945
1993.501,-25.057
1993.528,-24.518
1993.582,-30.079
1993.61,-28.82
1993.637,-25.85
1993.664,-24.749
1993.691,-27.498
1993.717,-30.034
1993.745,-28.173
1993.772,-24.597
1993.799,-27.16
1993.854,-27.119
1993.881,-29.42
1993.908,-27.996
1993.935,-26.067
1993.963,-21.984
1993.989,-23.005
1994.017,-29.124
1994.044,-26.453
1994.071,-25.123
1994.098,-27.853
1994.126,-28.674
1994.153,-26.832
1994.18,-22.991
1994.234,-24.306
1994.261,-22.804
1994.289,-21.879
1994.316,-21.129
1994.343,-24.401
1994.37,-25.55
1994.397,-28.31
1994.424,-25.018
1994.451,-21.24
1994.506,-28.153
1994.533,-24.647
1994.56,-23.948
1994.587,-23.38
1994.615,-23.554
1994.642,-23.002
1994.669,-24.356
1994.696,-22.897
1994.723,-24.917
1994.75,-26.358
1994.777,-25.477
1994.805,-21.569
1994.832,-22.659
1994.886,-26.981
1994.913,-28.405
1994.941,-21.816
1994.968,-20.907
1994.995,-21.074
1995.022,-21.031
1995.049,-22.529
1995.076,-17.498
1995.104,-21.242
1995.131,-24.276
1995.158,-21.267
1995.212,-17.237
1995.239,-23.408
1995.267,-20.869
1995.294,-20.072
1995.321,-20.989
1995.375,-23.24
1995.402,-20.981
1995.429,-17.156
1995.457,-19.879
1995.484,-23.646
1995.538,-26.264
1995.565,-24.483
1995.593,-23.756
1995.62,-22.072
1995.647,-24.586
1995.674,-23.798
1995.701,-21.107
1995.728,-15.74
1995.756,-21.362
1995.783,-23.785
1995.837,-24.635
1995.864,-23.996
1995.89,-21.751
1995.946,-23.932
1995.973,-18.369
1996.0,-21.683
1996.027,-23.727
1996.053,-22.545
1996.081,-23.297
1996.108,-18.32
1996.163,-19.338
1996.19,-21.523
1996.217,-18.613
1996.244,-17.749
1996.271,-20.128
1996.298,-21.131
1996.325,-20.534
1996.352,-19.8
1996.379,-19.292
1996.406,-17.42
1996.433,-18.661
1996.488,-18.472
1996.515,-19.111
1996.542,-18.6
1996.569,-16.397
1996.596,-18.518
1996.623,-21.803
1996.65,-23.251
1996.677,-24.823
1996.704,-21.168
1996.732,-19.047
1996.759,-18.23
1996.813,-15.149
1996.84,-13.213
1996.867,-16.625
1996.894,-22.344
1996.921,-21.386
1996.948,-20.29
1996.975,-25.062
1997.002,-24.458
1997.03,-20.531
1997.057,-22.519
1997.084,-20.625
1997.138,-22.177
1997.165,-21.54
1997.193,-21.765
1997.22,-18.808
1997.247,-17.358
1997.274,-17.646
1997.301,-20.088
1997.328,-17.943
1997.356,-14.743
1997.383,-17.251
1997.41,-15.397
1997.464,-17.856
1997.491,-15.65
1997.519,-13.685
1997.546,-10.178
1997.573,-13.225
1997.627,-14.608
1997.654,-12.856
1997.681,-11.981
1997.709,-9.39
1997.736,-9.939
1997.79,-13.287
1997.817,-12.022
1997.845,-10.296
1997.872,-14.732
1997.899,-15.745
1997.926,-14.073
1997.953,-18.67
1997.98,-14.497
1998.008,-15.194
1998.035,-13.266
1998.089,-15.69
1998.116,-15.806
1998.143,-15.193
1998.171,-15.636
1998.198,-13.668
1998.225,-13.444
1998.252,-16.042
1998.279,-12.79
1998.306,-13.388
1998.334,-13.24
1998.361,-15.903
1998.415,-20.102
1998.442,-19.119
1998.469,-18.331
1998.497,-15.972
1998.524,-17.041
1998.551,-21.284
1998.605,-19.95
1998.632,-22.314
1998.659,-19.72
1998.687,-20.108
1998.714,-22.731
1998.741,-23.047
1998.768,-22.867
1998.823,-19.911
1998.85,-22.763
1998.877,-23.696
1998.904,-25.681
1998.931,-19.223
1998.958,-20.984
1998.986,-19.709
1999.013,-21.87
1999.04,-19.654
1999.094,-23.588
1999.125,-9.826
1999.149,-14.764
1999.176,-15.829
1999.203,-17.883
1999.23,-15.352
1999.257,-14.975
1999.284,-15.287
1999.339,-16.386
1999.366,-16.897
1999.393,-18.079
1999.42,-14.111
1999.447,-17.272
1999.475,-16.508
1999.502,-14.562
1999.529,-14.572
1999.556,-15.923
1999.583,-13.991
1999.61,-16.759
1999.637,-13.186
1999.692,-15.566
1999.719,-12.103
1999.746,-13.759
1999.773,-10.483
1999.801,-12.371
1999.828,-15.563
1999.855,-17.588
1999.882,-14.562
1999.909,-13.951
1999.964,-10.625
1999.991,-10.481
2000.018,-13.011
2000.045,-12.233
2000.072,-9.245
2000.099,-12.15
2000.126,-14.164
2000.153,-12.29
2000.18,-14.375
2000.207,-15.227
2000.234,-8.958
2000.289,-12.916
2000.316,-14.156
2000.343,-15.48
2000.37,-14.57
2000.397,-13.856
2000.424,-12.332
2000.451,-13.474
2000.478,-15.213
2000.505,-14.459
2000.533,-12.302
2000.587,-13.417
2000.614,-13.743
2000.641,-11.874
2000.668,-16.368
2000.695,-14.4
2000.722,-8.007
2000.749,-6.2
2000.776,-7.482
2000.803,-11.44
2000.858,-9.693
2000.884,-8.665
2000.913,-9.272
2000.939,-11.942
2000.966,-12.601
2000.993,-8.4
2001.02,-8.526
2001.075,-8.541
2001.102,-9.944
2001.129,-13.763
2001.156,-9.111
2001.183,-5.664
2001.21,-9.281
2001.238,-4.998
2001.265,-6.57
2001.292,-5.772
2001.319,-7.635
2001.346,-8.012
2001.373,-6.171
2001.401,-6.941
2001.428,-8.746
2001.455,-10.493
2001.482,-3.601
2001.509,-2.864
2001.536,-0.673
2001.564,-5.131
2001.591,-2.405
2001.618,-7.032
2001.645,-7.835
2001.672,-5.802
2001.699,-1.87
2001.727,-2.099
2001.754,-3.021
2001.781,-8.039
2001.808,-10.154
2001.835,-4.422
2001.862,-2.231
2001.89,-5.305
2001.917,-7.946
2001.944,-8.304
2001.971,-7.34
2001.998,-2.289
2002.026,-5.166
2002.053,-6.37
2002.081,-0.663
2002.107,-0.638
2002.134,-0.617
2002.161,-0.875
2002.188,-6.57
2002.216,-3.957
2002.243,-4.915
2002.27,0.173
2002.297,-4.395
2002.324,-3.14
2002.351,-3.497
2002.379,-2.008
2002.406,-2.24
2002.433,-4.633
2002.46,-1.829
2002.487,1.947
2002.514,-0.811
2002.542,0.272
2002.569,1.71
2002.596,2.528
2002.623,4.302
2002.65,-0.386
2002.677,-2.75
2002.705,-2.244
2002.732,-0.73
2002.759,-1.105
2002.786,1.851
2002.813,6.232
2002.84,-0.492
2002.868,0.36
2002.895,4.057
2002.922,1.951
2002.949,1.763
2002.976,0.924
2003.003,-1.325
2003.031,-2.295
2003.058,5.233
2003.085,4.996
2003.112,7.011
2003.139,1.214
2003.166,0.146
2003.194,1.253
2003.221,3.066
2003.248,2.416
2003.275,1.614
2003.302,-0.148
2003.329,0.908
2003.357,1.951
2003.384,2.114
2003.411,1.956
2003.438,-0.172
2003.465,1.292
2003.492,-1.076
2003.52,-0.81
2003.547,3.369
2003.574,1.679
2003.601,1.484
2003.628,-2.442
2003.655,0.387
2003.683,2.716
2003.71,1.507
2003.737,0.776
2003.764,3.262
2003.791,1.479
2003.818,1.418
2003.846,0.371
2003.871,0.563
2003.927,3.658
2003.954,2.465
2003.981,-0.49
2004.009,0.968
2004.036,6.434
2004.063,6.731
2004.09,4.764
2004.113,-1.579
2004.148,3.864
2004.171,4.066
2004.198,3.068
2004.225,3.186
2004.251,5.436
2004.279,4.247
2004.307,7.699
2004.334,2.554
2004.361,1.68
2004.388,-0.271
2004.415,3.849
2004.442,2.992
2004.469,2.922
2004.496,6.92
2004.523,6.786
2004.55,5.244
2004.577,1.739
2004.605,2.787
2004.632,5.364
2004.659,5.108
2004.686,6.003
2004.713,8.822
2004.74,4.725
2004.767,5.547
2004.794,6.802
2004.821,5.374
2004.848,6.328
2004.875,7.305
2004.902,2.635
2004.93,5.582
2004.957,7.286
2004.984,13.419
2005.011,6.83
2005.038,5.484
2005.065,8.569
2005.092,8.29
2005.12,10.281
2005.147,10.059
2005.174,13.778
2005.201,12.48
2005.228,6.501
2005.255,7.663
2005.283,11.481
2005.31,8.127
2005.337,10.281
2005.364,10.602
2005.391,9.339
2005.418,10.441
2005.446,10.751
2005.473,11.548
2005.5,10.111
2005.527,11.944
2005.554,8.274
2005.582,9.803
2005.609,6.39
2005.636,7.772
2005.663,9.433
2005.69,9.057
2005.712,8.55
2005.749,9.796
2005.772,10.832
2005.799,8.847
2005.826,9.475
2005.853,12.875
2005.88,11.786
2005.907,11.936
2005.935,11.389
2005.962,11.884
2005.989,12.799
2006.016,10.282
2006.043,7.405
2006.07,8.859
2006.098,9.664
2006.125,9.221
2006.152,9.284
2006.179,11.097
2006.206,6.1
2006.233,9.327
2006.261,7.905
2006.288,7.624
2006.315,7.075
2006.342,7.926
2006.369,11.635
2006.396,12.851
2006.424,11.618
2006.451,12.194
2006.478,11.348
2006.505,12.867
2006.532,13.76
2006.559,11.958
2006.587,9.964
2006.614,7.744
2006.641,11.234
2006.668,14.019
2006.695,13.181
2006.722,13.989
2006.75,12.184
2006.777,12.529
2006.804,13.204
2006.823,12.013
2006.888,12.586
2006.913,11.481
2006.939,15.954
2006.967,13.88
2006.994,13.173
2007.021,9.729
2007.048,7.221
2007.076,10.859
2007.103,11.12
2007.13,11.857
2007.157,13.507
2007.184,10.115
2007.211,11.021
2007.239,11.061
2007.266,13.543
2007.293,14.369
2007.32,12.622
2007.347,7.469
2007.374,12.065
2007.402,13.459
2007.429,12.792
2007.456,10.129
2007.483,9.839
2007.51,10.416
2007.537,8.969
2007.565,7.191
2007.592,8.023
2007.619,12.998
2007.646,9.499
2007.673,7.111
2007.7,7.514
2007.728,12.253
2007.755,11.13
2007.782,9.937
2007.809,10.771
2007.836,8.006
2007.863,11.791
2007.891,16.302
2007.918,15.986
2007.945,14.2
2007.972,8.972
2007.999,9.543
2008.026,12.27
2008.053,14.63
2008.08,14.422
2008.108,11.173
2008.135,12.19
2008.162,9.129
2008.189,12.634
2008.216,13.843
2008.243,11.485
2008.27,11.173
2008.297,12.205
2008.324,11.56
2008.345,11.952
2008.379,17.492
2008.406,19.56
2008.433,17.667
2008.46,16.171
2008.487,17.547
2008.514,18.389
2008.541,15.012
2008.568,13.955
2008.595,12.777
2008.622,15.351
2008.649,13.26
2008.676,12.69
2008.704,11.287
2008.731,13.79
2008.758,14.003
2008.785,14.447
2008.812,14.416
2008.839,13.382
2008.866,14.592
2008.893,13.579
2008.92,17.968
2008.947,14.582
2008.975,13.286
2009.002,15.143
2009.029,15.752
2009.056,16.793
2009.083,15.067
2009.11,13.192
2009.137,15.102
2009.165,16.542
2009.192,16.145
2009.219,16.757
2009.246,16.404
2009.273,16.497
2009.3,17.633
2009.328,16.698
2009.355,16.135
2009.382,15.706
2009.409,14.758
2009.436,16.644
2009.463,17.124
2009.491,15.649
2009.518,14.257
2009.545,16.851
2009.572,20.772
2009.599,18.182
2009.626,18.055
2009.654,18.432
2009.681,18.993
2009.708,21.166
2009.735,20.312
2009.762,19.774
2009.789,20.667
2009.817,22.6
2009.844,23.815
2009.871,20.863
2009.898,21.675
2009.925,19.475
2009.952,18.485
2009.98,23.873
2010.007,20.704
2010.034,20.083
2010.061,19.493
2010.088,16.137
2010.115,20.239
2010.143,22.837
2010.17,25.962
2010.197,19.164
2010.224,19.681
2010.251,18.636
2010.278,21.638
2010.306,21.289
2010.333,18.845
2010.36,19.573
2010.387,23.126
2010.414,22.451
2010.441,23.502
2010.469,23.922
2010.496,23.22
2010.523,21.486
2010.55,22.444
2010.577,20.239
2010.604,18.436
2010.632,18.964
2010.659,14.308
2010.686,15.703
2010.713,15.522
2010.74,14.525
2010.767,14.647
2010.795,17.41
2010.822,16.194
2010.849,15.156
2010.876,15.841
2010.903,13.175
2010.93,14.382
2010.958,14.926
2010.985,17.256
2011.012,14.561
2011.039,13.909
2011.066,15.687
2011.093,15.603
2011.121,15.589
2011.148,14.964
2011.175,15.681
2011.202,16.184
2011.229,12.606
2011.256,14.77
2011.284,14.289
2011.311,14.337
2011.338,11.39
2011.365,16.209
2011.392,17.242
2011.419,17.338
2011.447,19.441
2011.474,21.529
2011.501,19.583
2011.528,19.508
2011.555,18.232
2011.582,18.603
2011.61,22.041
2011.637,22.224
2011.664,21.69
2011.691,19.721
2011.718,18.589
2011.745,20.749
2011.773,21.731
2011.8,23.958
2011.827,18.997
2011.854,18.105
2011.881,19.923
2011.908,24.377
2011.936,23.23
2011.963,23.224
2011.99,22.334
2012.017,25.012
2012.044,25.029
2012.071,26.476
2012.098,25.964
2012.125,26.921
2012.152,25.184
2012.18,24.2
2012.207,23.904
2012.234,25.333
2012.261,24.405
2012.288,24.924
2012.315,25.275
2012.342,25.826
2012.369,27.135
2012.396,26.551
2012.423,26.223
2012.45,31.206
2012.478,30.048
2012.505,29.867
2012.532,32.76
2012.559,34.058
2012.586,31.512
2012.613,31.393
2012.64,27.081
2012.667,30.561
2012.694,29.216
2012.721,32.414
2012.748,31.808
2012.776,32.529
2012.803,29.892
2012.83,30.463
2012.857,32.198
2012.884,32.235
2012.911,31.399
2012.938,34.913
2012.965,31.802
2012.992,32.904
2013.019,32.371
2013.047,31.898
2013.074,34.326
2013.101,33.998
2013.128,31.843
2013.155,33.298
2013.182,35.108
2013.21,33.417
2013.268,32.658
2013.291,29.251
2013.318,32.403
2013.345,32.952
2013.373,30.559
2013.4,29.957
2013.427,29.904
2013.454,29.656
2013.481,31.484
2013.508,30.077
2013.536,29.408
2013.563,31.281
2013.59,31.12
2013.617,26.296
2013.644,27.093
2013.668,30.019
2013.705,27.756
2013.726,28.597
2013.753,29.25
2013.78,29.632
2013.807,33.143
2013.834,34.257
2013.862,33.459
2013.889,33.025
2013.916,32.904
2013.943,29.418
2013.97,30.496
2013.997,32.376
2014.025,32.542
2014.052,33.909
2014.079,33.506
2014.106,34.752
2014.133,36.477
2014.16,37.12
2014.188,36.43
2014.215,35.539
2014.242,35.479
2014.269,34.666
2014.296,34.296
2014.323,31.751
2014.351,31.703
2014.378,32.487
2014.405,33.66
2014.432,33.973
2014.459,34.686
2014.486,36.371
2014.514,36.989
2014.541,37.112
2014.568,34.355
2014.595,36.677
2014.622,38.651
2014.649,38.56
2014.677,36.35
2014.704,36.287
2014.731,33.89
2014.758,35.403
2014.785,38.347
2014.812,38.816
2014.84,36.308
2014.867,35.825
2014.894,32.618
2014.921,35.31
2014.948,42.623
2014.975,39.386
2015.003,35.275
2015.03,38.278
2015.057,38.813
2015.084,41.881
2015.111,42.402
2015.138,45.608
2015.166,44.746
2015.193,42.349
2015.22,41.862
2015.247,43.61
2015.274,45.005
2015.301,44.142
2015.329,44.008
2015.356,42.243
2015.383,41.21
2015.41,44.557
2015.437,45.636
2015.464,46.908
2015.492,47.924
2015.519,46.124
2015.546,46.51
2015.573,47.126
2015.6,48.833
2015.627,46.407
2015.655,50.887
2015.682,51.254
2015.709,49.136
2015.736,49.894
2015.763,50.567
2015.79,51.373
2015.818,53.218
2015.845,50.043
2015.872,47.398
2015.899,50.315
2015.926,49.316
2015.953,47.825
2015.981,46.61
2016.008,44.136
2016.035,49.409
2016.062,52.912
2016.089,48.451
2016.116,51.547
2016.143,50.337
2016.17,50.962
2016.197,49.664
2016.224,52.681
2016.224,53.481
2016.252,50.442
2016.279,50.347
2016.306,47.389
2016.333,46.345
2016.36,46.373
2016.387,45.926
2016.414,48.851
2016.441,48.102
2016.468,49.94
2016.495,48.246
2016.522,47.721
2016.55,47.344
2016.577,44.439
2016.604,43.736
2016.631,42.712
2016.658,45.753
2016.685,47.44
2016.712,47.05
2016.739,44.741
2016.766,43.152
2016.793,46.594
2016.82,46.655
2016.848,48.227
2016.875,49.705
2016.902,53.735
2016.929,49.94
2016.956,48.046
2016.983,47.483
2017.01,46.899
2017.037,49.259
2017.064,47.65
2017.092,46.49
2017.119,45.773
2017.146,46.853
2017.173,47.974
2017.2,48.176
2017.227,48.596
2017.255,50.163
2017.282,47.772
2017.309,48.218
2017.336,47.972
2017.363,48.895
2017.39,45.436
2017.418,48.241
2017.445,47.962
2017.472,47.767
2017.499,47.739
2017.526,48.48
2017.553,48.917
2017.581,51.651
2017.608,50.139
2017.635,49.22
2017.662,50.477
2017.689,52.593
2017.716,52.041
2017.744,48.763
2017.771,48.634
2017.798,49.137
2017.825,51.554
2017.852,54.245
2017.879,54.249
2017.907,55.936
2017.934,54.947
2017.961,54.845
2017.988,52.263
2018.015,53.052
2018.042,53.882
2018.07,54.259
2018.097,53.852
2018.124,51.213
2018.151,49.879
2018.178,54.293
2018.205,54.096
2018.233,51.527
2018.26,49.098
2018.287,51.715
2018.314,52.865
2018.341,52.717
2018.368,52.329
2018.396,51.551
2018.423,52.623
2018.45,52.506
2018.477,52.168
2018.504,52.796
2018.531,54.397
2018.559,54.458
2018.586,52.712
2018.613,53.393
2018.64,53.081
2018.667,54.361
2018.694,56.816
2018.722,55.089
2018.749,57.896
2018.776,55.129
2018.803,57.392
2018.83,59.663
2018.857,57.898
2018.885,55.872
2018.912,54.24
2018.939,55.654
2018.966,56.341
2018.993,56.239
2019.02,55.5
2019.048,61.221
2019.075,57.543
2019.102,58.91
2019.129,58.65
2019.187,59.327
2019.211,60.621
2019.238,57.855
2019.259,58.991
2019.292,57.86
2019.319,60.913
2019.346,62.261
2019.374,59.265
2019.401,58.358
2019.428,58.998
2019.455,63.042
2019.482,61.562
2019.509,61.746
2019.537,61.569
2019.564,60.836
2019.591,61.571
2019.618,64.547
2019.645,65.446
2019.672,63.452
2019.7,63.914
2019.727,62.274
2019.754,60.74
2019.781,62.434
2019.808,61.657
2019.835,60.381
2019.863,64.091
2019.89,63.063
2019.917,63.745
2019.944,65.259
2019.971,64.034
2019.998,62.51
2020.026,60.17
2020.053,57.53
2020.074,60.126
2020.134,62.683
2020.161,60.725
2020.188,63.03
2020.215,59.739
2020.242,62.079
2020.269,62.266
2020.296,59.896
2020.324,60.56
2020.351,62.903
2020.378,62.587
2020.405,62.16
2020.432,63.473
2020.458,61.4
2020.486,62.971
2020.513,62.821
2020.54,63.752
2020.567,63.901
2020.594,63.426
2020.622,60.351
2020.649,61.96
2020.676,62.79
2020.703,62.618
2020.73,61.91
2020.757,64.511
2020.784,64.043
2020.809,63.371
2020.839,65.482
2020.865,64.458
2020.892,62.14
2020.92,65.468
2020.947,64.382
2020.974,64.148
2021.001,65.61
2021.028,66.725
2021.055,67.572
2021.082,68.152
2021.109,64.782
2021.137,62.402
2021.164,61.638
2021.191,63.742
2021.218,65.152
2021.245,67.997
2021.272,67.189
2021.3,66.533
2021.327,63.789
2021.354,66.527
2021.381,69.101
2021.408,67.559
2021.435,64.652
2021.463,67.224
2021.49,66.874
2021.517,68.391
2021.544,66.692
2021.571,68.618
2021.598,69.931
2021.626,70.255
2021.653,65.777
2021.68,67.932
2021.707,70.495
2021.734,68.931
2021.761,69.18
2021.789,69.567
2021.816,70.882
2021.843,69.388
2021.87,67.128
2021.897,69.936
2021.924,72.334
2021.952,67.885
2021.979,66.636
2022.006,68.773
2022.033,71.457
2022.06,71.973
2022.087,69.224
2022.115,70.239
2022.142,65.931
2022.169,65.558
2022.196,68.961
2022.223,68.076
2022.25,68.829
2022.278,70.638
2022.305,66.98
2022.332,69.435
2022.359,66.366
2022.386,67.722
2022.413,66.553
2022.441,68.002
2022.468,66.04
2022.495,69.746
2022.522,73.121
2022.549,74.486
2022.576,69.886
2022.604,66.536
2022.631,68.212
2022.658,69.153
2022.685,71.94
2022.712,72.45
2022.739,73.141
2022.767,71.947
2022.794,70.802
2022.821,71.674
2022.848,76.227
2022.875,74.105
2022.902,75.235
2022.93,72.982
2022.957,75.686
2022.984,74.319
2023.011,73.23
2023.038,76.584
2023.065,75.069
2023.093,71.903
2023.12,70.781
2023.147,71.259
2023.174,75.278
2023.201,75.68
2023.22,72.862
