"ano","categoria","vencedor","tempo"
1896,"Masculino","Thomas Burke (USA)",12
1900,"Masculino","Francis Jarvis (USA)",11
1904,"Masculino","Archie Hahn (USA)",11
1906,"Masculino","Archie Hahn (USA)",11.2
1908,"Masculino","Reginald Walker (S Africa)",10.8
1912,"Masculino","Ralph Craig (USA)",10.8
1920,"Masculino","Charles Paddock (USA)",10.8
1924,"Masculino","Harold Abrahams (GB)",10.6
1928,"Masculino","Percy Williams (Canada)",10.8
1932,"Masculino","Eddie Tolan (USA)",10.38
1936,"Masculino","Jessie Owens (USA)",10.3
1948,"Masculino","Harrison Dillard (USA)",10.3
1952,"Masculino","Lindy Remigino (USA)",10.78
1956,"Masculino","Bobby Morrow (USA)",10.62
1960,"Masculino","Armin Hary (FRG)",10.32
1964,"Masculino","Robert Hayes (USA)",10.06
1968,"Masculino","James Hines (USA)",9.95
1972,"Masculino","Valeriy Borzov (USSR)",10.14
1976,"Masculino","Hasely Crawford (Trinidad)",10.06
1980,"Masculino","Allan Wells (GB)",10.25
1984,"Masculino","Carl Lewis (USA)",9.99
1988,"Masculino","Carl Lewis (USA)",9.92
1992,"Masculino","Linford Christie (GB)",9.96
1996,"Masculino","Donovan Bailey (Canada)",9.84
2000,"Masculino","Maurice Green (USA)",9.87
2004,"Masculino","Justin Gatlin (USA)",9.85
2008,"Masculino","Usain Bolt (Jam)",9.69
2012,"Masculino","Usain Bolt (Jam)",9.63
2016,"Masculino","Usain Bolt (Jam)",9.81
2018,"Masculino","Lamont Marcell Jacobs (Ita)", 9.80
